Queue,Flow,Packet_ID,Type,Arrival,Deadline,Exec
1,F11,P11_1,M,0,200000,703
1,F11,P11_2,M,200000,400000,703
1,F11,P11_3,O,400000,600000,703
1,F11,P11_4,M,600000,800000,703
1,F11,P11_5,M,800000,1000000,703
1,F11,P11_6,O,1000000,1200000,703
1,F35,P35_1,O,0,400000,3375
1,F35,P35_2,M,400000,800000,3375
1,F35,P35_3,M,800000,1200000,3375
1,F37,P37_1,M,0,400000,2354
1,F37,P37_2,M,400000,800000,2354
1,F37,P37_3,O,800000,1200000,2354
1,F9,P9_1,M,0,400000,600
1,F9,P9_2,O,400000,800000,600
1,F9,P9_3,M,800000,1200000,600
2,F19,P19_1,O,0,400000,684
2,F19,P19_2,M,400000,800000,684
2,F19,P19_3,M,800000,1200000,684
2,F6,P6_1,M,0,400000,746
2,F6,P6_2,M,400000,800000,746
2,F6,P6_3,O,800000,1200000,746
3,F10,P10_1,M,0,400000,2971
3,F10,P10_2,M,400000,800000,2971
3,F10,P10_3,O,800000,1200000,2971
3,F23,P23_1,M,0,200000,732
3,F23,P23_2,M,200000,400000,732
3,F23,P23_3,O,400000,600000,732
3,F23,P23_4,M,600000,800000,732
3,F23,P23_5,M,800000,1000000,732
3,F23,P23_6,O,1000000,1200000,732
3,F27,P27_1,M,0,400000,2355
3,F27,P27_2,M,400000,800000,2355
3,F27,P27_3,O,800000,1200000,2355
3,F34,P34_1,O,0,400000,600
3,F34,P34_2,M,400000,800000,600
3,F34,P34_3,M,800000,1200000,600
3,F45,P45_1,O,0,200000,2170
3,F45,P45_2,M,200000,400000,2170
3,F45,P45_3,M,400000,600000,2170
3,F45,P45_4,O,600000,800000,2170
3,F45,P45_5,M,800000,1000000,2170
3,F45,P45_6,M,1000000,1200000,2170
4,F12,P12_1,O,0,400000,6506
4,F12,P12_2,M,400000,800000,6506
4,F12,P12_3,M,800000,1200000,6506
4,F15,P15_1,M,0,200000,9385
4,F15,P15_2,M,200000,400000,9385
4,F15,P15_3,O,400000,600000,9385
4,F15,P15_4,M,600000,800000,9385
4,F15,P15_5,M,800000,1000000,9385
4,F15,P15_6,O,1000000,1200000,9385
4,F20,P20_1,O,0,400000,9787
4,F20,P20_2,M,400000,800000,9787
4,F20,P20_3,M,800000,1200000,9787
4,F21,P21_1,M,0,400000,2189
4,F21,P21_2,O,400000,800000,2189
4,F21,P21_3,M,800000,1200000,2189
4,F24,P24_1,O,0,400000,4907
4,F24,P24_2,M,400000,800000,4907
4,F24,P24_3,M,800000,1200000,4907
4,F29,P29_1,M,0,400000,2629
4,F29,P29_2,O,400000,800000,2629
4,F29,P29_3,M,800000,1200000,2629
4,F40,P40_1,O,0,400000,1611
4,F40,P40_2,M,400000,800000,1611
4,F40,P40_3,M,800000,1200000,1611
4,F46,P46_1,M,0,400000,8513
4,F46,P46_2,O,400000,800000,8513
4,F46,P46_3,M,800000,1200000,8513
